"","face","suit","value"
"1","king","spades",13
"2","queen","spades",12
"3","jack","spades",11
"4","ten","spades",10
"5","nine","spades",9
"6","eight","spades",8
"7","seven","spades",7
"8","six","spades",6
"9","five","spades",5
"10","four","spades",4
"11","three","spades",3
"12","two","spades",2
"13","ace","spades",1
"14","king","clubs",13
"15","queen","clubs",12
"16","jack","clubs",11
"17","ten","clubs",10
"18","nine","clubs",9
"19","eight","clubs",8
"20","seven","clubs",7
"21","six","clubs",6
"22","five","clubs",5
"23","four","clubs",4
"24","three","clubs",3
"25","two","clubs",2
"26","ace","clubs",1
"27","king","diamonds",13
"28","queen","diamonds",12
"29","jack","diamonds",11
"30","ten","diamonds",10
"31","nine","diamonds",9
"32","eight","diamonds",8
"33","seven","diamonds",7
"34","six","diamonds",6
"35","five","diamonds",5
"36","four","diamonds",4
"37","three","diamonds",3
"38","two","diamonds",2
"39","ace","diamonds",1
"40","king","hearts",13
"41","queen","hearts",12
"42","jack","hearts",11
"43","ten","hearts",10
"44","nine","hearts",9
"45","eight","hearts",8
"46","seven","hearts",7
"47","six","hearts",6
"48","five","hearts",5
"49","four","hearts",4
"50","three","hearts",3
"51","two","hearts",2
"52","ace","hearts",1
